30258.31,17923.48
65792.41,18299.58
38808.01,35801.56
77068.99,34276.02
95058.58,27837.17
30361.78,34462.26
57511.75,27154.08
32685.02,25856.15
83637.07,27588.81
75032.14,18403.09
40951.84,36574.36
14716.13,35653.17
23752.35,17543.97
30361.78,36532.95
39477.33,27616.35
21625.74,35949.89
57290.94,35279.87
75580.66,36384.66
39018.49,17961.44
74887.21,35846.46
41013.94,36032.71
50481.38,35010.83
56842.44,36477.77
41759.17,18679.04
65864.83,36339.80
29978.86,18237.43
30099.58,34631.31
66568.64,27195.49
65795.84,27364.54
29947.81,16118.44
57128.79,35235.02
23786.83,27581.83
30475.64,26995.34
66140.84,27095.44
31894.96,36595.05
40965.66,25317.96
21625.77,18754.92
94889.55,16811.98
41531.47,16625.60
48568.72,25152.37
14133.08,36191.37
75563.41,35304.12
40831.09,35131.57
58796.52,36874.52
49898.33,36415.67
23459.10,18810.12
84599.60,36067.27
31970.89,17668.18
39028.81,36087.91
68008.68,16946.49
77051.74,36633.06
41421.04,35611.81
85736.05,26332.32
95451.90,17813.17
75580.69,18151.24
21021.99,35880.89
77583.07,18258.19
77493.37,16435.90
68457.16,35300.66
74645.74,18365.14
83799.20,36253.57
23631.60,17471.52
57435.85,26235.69
38804.59,17954.54
77507.17,18254.74
14416.00,25831.98
12120.38,18075.26
48227.15,36043.07
95607.15,17702.77
48071.90,35911.97
21294.54,36353.54
30575.71,18416.83
59048.37,36719.27
31853.56,35293.71
23400.45,17764.77
48606.65,35715.32
68336.43,18092.58
85746.40,26636.61
66347.83,35853.35
86281.15,25921.77
11761.58,16301.27
20821.92,15932.13
59386.50,18730.82
23676.43,26145.94
68653.81,34524.41
41214.06,27143.70
68595.16,34241.51
65678.53,36577.85
58986.30,17626.82
67994.88,17198.34
84289.10,34679.68
32674.67,25238.60
32733.32,25090.25
39180.64,18685.94
14208.98,35991.27
48258.22,25849.27
21694.77,18337.47
57328.90,25828.59
49867.28,36639.92
12034.13,18106.31
